LS 53090,BP 938.480,BH 28.520,BT 15.450,DH 64.400,DT 4.900,GT 23:32:32,GD 27/3,GF 1/2,GS 10,GL 1036.985,GB 4746.402,GH 712.3000
LS 53095,BP 938.480,BH 28.530,BT 15.440,DH 64.400,DT 4.900,GT 23:32:37,GD 27/3,GF 1/2,GS 10,GL 1036.985,GB 4746.402,GH 712.4000
LS 53100,BP 938.480,BH 28.520,BT 15.430,DH 64.400,DT 4.900,GT 23:32:42,GD 27/3,GF 1/2,GS 10,GL 1036.985,GB 4746.402,GH 712.4000
LS 53105,BP 938.490,BH 28.520,BT 15.430,DH 64.400,DT 4.900,GT 23:32:47,GD 27/3,GF 1/2,GS 10,GL 1036.985,GB 4746.402,GH 712.4000
LS 53110,BP 938.490,BH 28.520,BT 15.430,DH 64.400,DT 4.900,GT 23:32:52,GD 27/3,GF 1/2,GS 10,GL 1036.985,GB 4746.402,GH 712.5000
LS 53115,BP 938.480,BH 28.510,BT 15.420,DH 64.400,DT 4.900,GT 23:32:57,GD 27/3,GF 1/2,GS 9,GL 1036.985,GB 4746.402,GH 712.5000
LS 53120,BP 938.500,BH 28.510,BT 15.420,DH 64.500,DT 4.900,GT 23:33:2,GD 27/3,GF 1/2,GS 10,GL 1036.985,GB 4746.402,GH 712.5000
LS 53125,BP 938.450,BH 28.540,BT 15.400,DH 64.500,DT 4.900,GT 23:33:7,GD 27/3,GF 1/2,GS 10,GL 1036.985,GB 4746.402,GH 712.6000
LS 53130,BP 938.460,BH 28.550,BT 15.400,DH 64.600,DT 4.900,GT 23:33:12,GD 27/3,GF 1/2,GS 10,GL 1036.985,GB 4746.402,GH 712.6000
LS 53135,BP 938.440,BH 28.550,BT 15.400,DH 64.600,DT 4.900,GT 23:33:17,GD 27/3,GF 1/2,GS 10,GL 1036.985,GB 4746.402,GH 712.7000
LS 53140,BP 938.480,BH 28.540,BT 15.390,DH 64.600,DT 4.900,GT 23:33:22,GD 27/3,GF 1/2,GS 10,GL 1036.985,GB 4746.402,GH 712.7000
